"Season";"Home";"Away";"FT_Odds_H";"FT_Odds_D";"FT_Odds_A";"FT_Goals_H";"FT_Goals_A";"Date";"League";"XG_Home_Pre";"XG_Away_Pre";"ShotsOnTarget_H";"ShotsOnTarget_A";"ShotsOffTarget_H";"ShotsOffTarget_A";"Shots_H";"Shots_A"
"2013";"ABC";"América Mineiro";2,51;3,33;2,97;2;1;2013-09-03;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"América RN";2,12;3,44;3,67;3;3;2013-11-02;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"ASA";1,63;4,05;5,75;4;1;2013-11-15;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Atlético GO";2,66;3,31;2,8;0;1;2013-07-06;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Avaí";1,65;3,97;5,71;1;0;2013-11-23;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Boa";2,12;3,46;3,65;3;1;2013-09-28;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Bragantino";2,16;3,43;3,63;1;1;2013-06-04;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Ceará";2,54;3,37;2,89;1;1;2013-05-31;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Chapecoense";2,75;3,41;2,64;2;0;2013-09-21;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Figueirense";2,52;3,44;2,88;3;2;2013-08-17;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Guaratinguetá";1,67;3,83;5,74;2;4;2013-10-19;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Icasa";2,01;3,48;4;1;0;2013-11-09;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Joinville";3,96;3,64;1,97;0;0;2013-07-20;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Oeste";1,95;3,59;4,19;0;0;2013-08-06;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Palmeiras";4,77;3,7;1,8;3;2;2013-10-05;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Paraná";2;3,49;4,08;0;2;2013-05-25;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Paysandu";2,17;3,42;3,56;3;0;2013-07-27;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"São Caetano";1,83;3,71;4,57;2;0;2013-10-15;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Sport Recife";2,88;3,38;2,55;4;2;2013-09-10;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"ABC";1,7;3,96;5,15;0;0;2013-11-29;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"América RN";1,6;4,18;5,86;1;1;2013-08-17;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"ASA";1,54;4,25;6,58;1;0;2013-11-01;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Atlético GO";2,1;3,51;3,64;3;0;2013-11-16;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Avaí";2,31;3,5;3,16;0;0;2013-09-28;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Boa";1,7;3,86;5,49;0;0;2013-10-11;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Bragantino";1,9;3,72;4,16;2;2;2013-07-13;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Ceará";1,92;3,68;4,23;2;2;2013-08-02;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Chapecoense";2,3;3,4;3,3;1;1;2013-10-08;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Figueirense";2,38;3,47;3,06;2;4;2013-05-28;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Guaratinguetá";1,58;4,22;6,09;1;0;2013-09-06;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Icasa";1,73;3,89;5;1;2;2013-09-17;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Joinville";2,13;3,63;3,49;0;2;2013-08-27;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Oeste";1,8;3,78;4,63;4;3;2013-06-07;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Palmeiras";3,91;3,65;2;1;1;2013-09-14;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Paraná";2,19;3,38;3,53;2;2;2013-07-05;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Paysandu";1,6;3,93;6,66;0;1;2013-10-29;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"São Caetano";1,98;3,56;4,01;2;1;2013-08-13;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América Mineiro";"Sport Recife";2,57;3,52;2,8;5;0;2013-07-30;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"ABC";2,5;3,41;2,93;0;0;2013-08-10;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"América Mineiro";2,26;3,37;3,45;2;2;2013-11-12;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"ASA";2,42;3,42;3,08;2;0;2013-07-30;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Atlético GO";2,35;3,32;3,24;2;1;2013-10-12;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Avaí";2,68;3,39;2,76;2;3;2013-08-23;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Boa";2,04;3,6;3,81;0;0;2013-08-02;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Bragantino";2,11;3,35;3,8;0;2;2013-10-01;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Ceará";2,84;3,38;2,58;1;0;2013-10-26;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Chapecoense";3,3;3,53;2,25;0;1;2013-08-27;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Figueirense";2,6;3,47;2,76;2;0;2013-09-06;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Guaratinguetá";1,86;3,75;4,3;2;2;2013-06-07;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Icasa";2,06;3,54;3,7;1;1;2013-05-28;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Joinville";3,05;3,34;2,45;1;1;2013-09-17;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Oeste";2,06;3,58;3,75;2;2;2013-11-30;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Palmeiras";3,91;3,55;2;0;2;2013-06-11;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Paraná";3,02;3,38;2,47;4;1;2013-10-08;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Paysandu";2,21;3,48;3,45;3;0;2013-09-14;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"São Caetano";2,35;3,45;3,13;2;1;2013-08-31;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"América RN";"Sport Recife";2,96;3,47;2,44;2;4;2013-07-13;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"ABC";2,02;3,55;3,95;4;0;2013-08-20;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"América Mineiro";2,52;3,4;2,91;2;0;2013-08-09;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"América RN";2,15;3,45;3,57;1;2;2013-10-15;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Atlético GO";2,56;3,43;2,83;0;1;2013-07-20;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Avaí";3,15;3,4;2,36;1;0;2013-11-08;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Boa";2;3,39;4,16;0;1;2013-09-17;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Bragantino";2,45;3,4;3;2;1;2013-07-23;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Ceará";2,74;3,42;2,65;2;3;2013-10-05;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Chapecoense";2,88;3,41;2,52;0;2;2013-07-05;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Figueirense";2,35;3,51;3,03;3;1;2013-08-27;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Guaratinguetá";1,99;3,56;4,06;2;1;2013-11-12;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Icasa";2,11;3,52;3,61;3;1;2013-06-07;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Joinville";2,48;3,47;2,95;0;1;2013-09-13;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Oeste";2,19;3,5;3,41;3;0;2013-10-18;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Palmeiras";3,73;3,49;2,08;0;3;2013-05-28;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Paraná";2,98;3,34;2,5;1;4;2013-09-28;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Paysandu";1,9;3,69;4,2;1;1;2013-09-06;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"São Caetano";1,91;3,74;4,08;1;0;2013-11-29;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ASA";"Sport Recife";2,77;3,49;2,61;2;4;2013-08-06;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"ABC";1,76;3,74;4,97;0;1;2013-10-01;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"América Mineiro";2,37;3,46;3,08;1;1;2013-08-24;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"América RN";1,52;4,22;7,1;0;1;2013-07-26;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"ASA";1,53;4,39;6,64;5;1;2013-10-08;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Avaí";2,53;3,36;2,96;2;1;2013-10-29;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Boa";2,07;3,41;3,95;3;1;2013-09-13;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Bragantino";1,83;3,64;4,76;0;1;2013-08-13;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Ceará";2,01;3,49;3,99;1;3;2013-11-01;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Chapecoense";2,59;3,21;2,96;0;0;2013-10-25;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Figueirense";2,23;3,46;3,35;2;3;2013-07-12;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Guaratinguetá";1,69;3,95;5,33;2;0;2013-11-30;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Icasa";1,47;4,5;7,65;0;3;2013-06-11;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Joinville";1,98;3,55;4,01;2;1;2013-05-28;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Oeste";1,71;3,79;5,32;4;0;2013-08-30;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Palmeiras";4,25;3,65;1,9;1;3;2013-09-07;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Paraná";2,47;3,35;3,01;0;2;2013-08-03;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Paysandu";1,59;4,09;6,2;1;0;2013-06-07;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"São Caetano";1,81;3,72;4,7;1;1;2013-09-17;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético GO";"Sport Recife";2,12;3,54;3,61;2;1;2013-11-12;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Atlético PR";1,75;3,86;4,98;1;2;2013-07-31;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Bahia";1,56;4,13;6,87;2;0;2013-08-14;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Botafogo";2,29;3,39;3,35;2;2;2013-08-07;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Corinthians";2,12;3,32;3,89;0;0;2013-10-06;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Coritiba";1,64;3,9;6,1;3;0;2013-09-12;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Criciúma";1,81;3,66;4,9;3;2;2013-07-07;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Cruzeiro";2,96;3,43;2,5;1;0;2013-10-13;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Flamengo";2,12;3,42;3,76;1;0;2013-10-20;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Fluminense";1,79;3,68;4,99;2;2;2013-09-04;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Goiás";2,18;3,35;3,67;4;1;2013-11-23;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Grêmio";2,18;3,37;3,64;2;0;2013-06-09;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Internacional";2,06;3,43;3,96;2;1;2013-11-14;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Náutico";1,26;6,15;9,99;5;0;2013-11-02;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Ponte Preta";1,78;3,72;5,18;4;0;2013-10-03;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Portuguesa";1,56;4,16;6,81;2;1;2013-08-25;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Santos";1,71;3,84;5,36;3;1;2013-09-29;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"São Paulo";2,29;3,42;3,32;0;0;2013-06-02;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Vasco da Gama";0;0;0;2;1;2013-09-22;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético Mineiro";"Vitória";2,13;3,56;3,57;2;2;2013-12-08;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Atlético Mineiro";2,25;3,36;3,48;1;0;2013-10-16;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Bahia";1,77;3,83;4,9;1;0;2013-08-07;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Botafogo";2,31;3,46;3,23;2;0;2013-08-25;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Corinthians";2,72;3,37;2,77;1;1;2013-07-21;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Coritiba";2,12;3,32;3,89;2;1;2013-10-06;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Criciúma";1,59;4,17;6,24;2;1;2013-08-18;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Cruzeiro";2,71;3,34;2,76;2;2;2013-05-29;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Flamengo";2,36;3,34;3,26;2;2;2013-06-01;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Fluminense";1,96;3,58;4,15;1;1;2013-09-11;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Goiás";1,76;3,8;5,05;2;0;2013-08-04;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Grêmio";2,54;3,37;2,93;1;1;2013-07-06;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Internacional";2,66;3,39;2,78;1;0;2013-11-03;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Náutico";1,27;6,15;9,99;6;1;2013-11-24;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Ponte Preta";1,53;4,21;7,2;1;0;2013-09-22;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Portuguesa";1,79;3,75;4,91;1;0;2013-10-13;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Santos";1,92;3,61;4,33;2;1;2013-09-04;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"São Paulo";2,62;3,22;2,96;3;0;2013-11-10;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Vasco da Gama";1,95;3,55;4,23;5;1;2013-12-08;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Atlético PR";"Vitória";1,49;4,4;7,62;3;5;2013-09-29;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"ABC";1,53;4,27;6,75;2;0;2013-08-30;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"América Mineiro";1,97;3,57;4,04;1;2;2013-06-11;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"América RN";1,75;3,85;4,88;0;1;2013-11-16;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"ASA";1,61;3,97;6,18;2;0;2013-08-13;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Atlético GO";1,95;3,55;4,22;1;0;2013-07-30;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Boa";1,9;3,62;4,29;1;0;2013-11-29;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Bragantino";1,49;4,3;7,6;3;0;2013-10-25;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Ceará";1,72;3,87;5,08;1;1;2013-08-16;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Chapecoense";2;3,46;4,13;1;2;2013-10-12;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Figueirense";1,82;3,65;4,71;0;4;2013-11-03;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Guaratinguetá";1,68;3,87;5,5;2;1;2013-05-28;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Icasa";1,64;4,02;5,86;3;1;2013-09-14;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Joinville";2,11;3,53;3,6;0;2;2013-06-07;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Oeste";1,47;4,54;7,53;2;2;2013-09-06;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Palmeiras";3,14;3,41;2,36;2;4;2013-09-17;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Paraná";2,15;3,42;3,6;2;2;2013-07-13;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Paysandu";1,69;3,9;5,3;2;0;2013-08-03;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"São Caetano";1,61;4,02;6,05;2;1;2013-10-01;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Avaí";"Sport Recife";1,96;3,55;4,2;1;0;2013-10-08;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Atlético Mineiro";3,14;3,31;2,44;0;0;2013-11-09;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Atlético PR";2,78;3,26;2,75;1;1;2013-10-27;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Botafogo";3,43;3,36;2,27;2;1;2013-06-05;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Corinthians";3,42;3,19;2,36;0;2;2013-07-07;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Coritiba";2,76;3,35;2,71;0;0;2013-05-29;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Criciúma";1,97;3,5;4,22;2;2;2013-09-11;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Cruzeiro";3,62;3,53;2,13;1;3;2013-09-04;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Flamengo";2,65;3,27;2,88;3;0;2013-07-31;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Fluminense";5,92;3,76;1,68;1;2;2013-12-08;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Goiás";2,18;3,31;3,71;2;1;2013-07-28;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Grêmio";2,75;3,14;2,87;0;3;2013-08-11;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Internacional";2,9;3,26;2,64;2;0;2013-09-19;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Náutico";1,69;3,69;5,98;2;0;2013-08-25;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Ponte Preta";1,97;3,41;4,36;1;1;2013-10-06;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Portuguesa";2,21;3,26;3,69;1;0;2013-11-24;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Santos";2,4;3,29;3,23;0;0;2013-08-18;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"São Paulo";3,15;3,07;2,58;0;1;2013-10-20;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Vasco da Gama";2,21;3,37;3,56;0;0;2013-09-29;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Bahia";"Vitória";2,56;3,39;2,9;2;0;2013-10-09;"Brazil Serie A";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"ABC";2,02;3,47;3,97;1;0;2013-06-11;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"América Mineiro";2,48;3,4;2,96;1;1;2013-07-27;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"América RN";2,23;3,28;3,55;3;2;2013-10-18;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"ASA";1,97;3,5;4,22;1;2;2013-06-04;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Atlético GO";2,74;3,39;2,66;0;0;2013-06-01;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Avaí";2,56;3,34;2,89;0;0;2013-09-03;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Bragantino";2,13;3,34;3,76;0;0;2013-09-09;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Ceará";2,19;3,43;3,48;1;2;2013-09-21;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Chapecoense";1,92;3,52;4,45;1;4;2013-05-24;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Figueirense";2,29;3,34;3,35;0;2;2013-10-01;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Guaratinguetá";2,02;3,56;3,93;2;0;2013-08-06;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Icasa";1,91;3,58;4,3;1;0;2013-08-09;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Joinville";2,4;3,36;3,12;1;0;2013-10-15;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Oeste";1,9;3,57;4,37;0;4;2013-10-04;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Palmeiras";4,4;3,68;1,87;1;0;2013-08-24;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Paraná";2,57;3,29;2,93;3;2;2013-11-08;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Paysandu";2,29;3,5;3,17;1;0;2013-07-20;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"São Caetano";1,93;3,53;4,41;1;0;2013-11-12;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"Boa";"Sport Recife";3,78;3,57;2,04;2;3;2013-11-23;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
